sample_name,read_type,source_type,file_path_1,file_path_2,checksum_1,checksum_2
SRR10034546,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/046/SRR10034546/SRR10034546_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/046/SRR10034546/SRR10034546_2.fastq.gz,2b9a1b6ca09e443ff515027834b56e57,29409b067e6e8f17b08c3380511eaa4f
SRR10034545,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/045/SRR10034545/SRR10034545_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/045/SRR10034545/SRR10034545_2.fastq.gz,1d72426c9b83a4348024a94e553a1ec3,4e2ebe9c4fcc8eda32ac3da5d13fcdc5
SRR10034542,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/042/SRR10034542/SRR10034542_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/042/SRR10034542/SRR10034542_2.fastq.gz,5567c4e5bd6e671b4bfd8dab3f4991e6,7e07420092bd133d365c97625e9208f0
SRR10871270,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/070/SRR10871270/SRR10871270_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/070/SRR10871270/SRR10871270_2.fastq.gz,db7f62a8af2c38150534736f9766d4fb,b90b2534db1abffd49f4c0aa0d5aa879
SRR10871271,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/071/SRR10871271/SRR10871271_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/071/SRR10871271/SRR10871271_2.fastq.gz,2279af29eca8f46b933f232aca1b5539,573099ba2e9e8ab3b75f55230f8a5d3e
SRR10871272,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/072/SRR10871272/SRR10871272_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/072/SRR10871272/SRR10871272_2.fastq.gz,a26f358a48f142b8fdabb62f84890a64,1fe9fadef7ba91999537aa4a093909d9
SRR10871273,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/073/SRR10871273/SRR10871273_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/073/SRR10871273/SRR10871273_2.fastq.gz,0a2bb4472dfd48c9c0af0631970edb40,bd8c0e2bdbba4fc66493fa6c6621708c
SRR10871274,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/074/SRR10871274/SRR10871274_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/074/SRR10871274/SRR10871274_2.fastq.gz,ef241e3b731a7118a76fa516e299d8dc,3cb08e66901b210f39c8110113a7ec01
SRR10871275,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/075/SRR10871275/SRR10871275_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/075/SRR10871275/SRR10871275_2.fastq.gz,71d99948d3a8a161d16ee30a13019618,1cd21a800f4deca3587fa0944c22c9da
SRR11122981,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/081/SRR11122981/SRR11122981_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/081/SRR11122981/SRR11122981_2.fastq.gz,7d12daecf966842741a140b9c2188a88,0f7cd65863c5f0501383248ede617f49
SRR11122982,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/082/SRR11122982/SRR11122982_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/082/SRR11122982/SRR11122982_2.fastq.gz,d752d4c5eb1f32d0a444e3624a176122,cb688b610467960085576b6d9ab8a0e8
SRR11122983,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/083/SRR11122983/SRR11122983_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/083/SRR11122983/SRR11122983_2.fastq.gz,71305fc9b88c807f61020ba2865c8d55,8b9b80c23668b7ba76dc8e3846ce6417
SRR11122984,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/084/SRR11122984/SRR11122984_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/084/SRR11122984/SRR11122984_2.fastq.gz,5e28438a028322fc995593fe9d3b8ef5,84c2a9d0bfa26c2b9ea750f3286baad6
SRR11122985,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/085/SRR11122985/SRR11122985_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/085/SRR11122985/SRR11122985_2.fastq.gz,c0ab2faa86f4e57218c26f181694a32f,25a485a21c8b3f0e3af76b4ef634251c
SRR11122986,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/086/SRR11122986/SRR11122986_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/086/SRR11122986/SRR11122986_2.fastq.gz,c4247e2024ba2750d116cf29372f6fbe,807628266237248435a54475c61562f3
SRR11122987,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/087/SRR11122987/SRR11122987_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/087/SRR11122987/SRR11122987_2.fastq.gz,49d91f5c8fbd167aabadce17e0423704,eacf0f8c113039620731a95d57603a95
